machine_id,machine_name,normal_odds,right_odds,entry_rate,continuation_rate,upper_rate,source_url,verified_at,note
1621,ＰウルトラマンメビウスＭ４,約1/319.9,約1/12.3,51%,約70%,,https://www.p-world.co.jp/machine/database/10454,2026-08-21,RUSH公表値
1622,Ｐうまい棒２Ｖ３,1/38.4,約1/2.2,100%,,,https://www.p-world.co.jp/machine/database/10208,2026-08-21,おまけチャンスは残保留4個;右は小当り+C時短合算
1623,Ｐ沖ドキ！ＬＧ,大当り 1/22.2,1/17.0,18%,約89%,,https://pachinko-curation.com/58402/,2026-08-21,役物突入確率目安約1/15
1630,ＰフィーバーうたわれるものＺ,1/199.9,1/14.3,50%,約75%,,https://g-net-ps.com/info/p0398/,2026-08-21,RUSH公表値
1631,Ｐ魔法少女まどか☆マギカ３ＬＭ３,1/199.9,1/62.2,55%,約65%,約87%,https://pachinko-curation.com/46507/,2026-08-21,上位RUSH搭載
1635,Ｐシン・エヴァンゲリオンＸ,約1/319.7,約1/99.5,約73%,約81%,,https://www.p-world.co.jp/machine/database/9925,2026-08-21,確変割合63%;時短引戻し込みのST突入約73%
1700,ｅ無職転生~異世界行ったら本気だす,図柄 約1/399.6,約1/90.4,約54%,約76.5%,,https://www.e-mushokutensei.jp/,2026-08-21,大当り合算約1/348.6
1701,ｅ虚構推理ＭＨＪＴ,1/319.7,1/44.9,50.5%,約60%,約77%,https://g-net-ps.com/info/p0584/,2026-08-21,上位LT搭載
1702,ｅ必殺仕事人ⅥＭ２,約1/319.9,約1/88.3,約64.2%,約75%,,https://www.p-world.co.jp/machine/database/10472,2026-08-21,RUSH公表値
1703,ｅ結城友奈は勇者であるＭＰ,約1/349,1/96.3,51.5%,約70%,約76%,https://pachimatome.com/pachinko/e_yuyuyu_349/,2026-08-21,上位RUSH搭載
1704,ｅ東京リベンジャーズ聖夜決戦編ＥＲＥＣ,1/199.8,1/10.27,実質約25%,約79%,,https://pachinko-curation.com/62043/,2026-08-21,初当り50%でチャレンジ;突破率約49%
1705,ｅとある魔術の禁書目録 最狂ＲＲＡ,1/253.9,1/13.1,30%,約70%,,https://pachinko-curation.com/?p=62054,2026-08-21,e一方通行 最狂
1706,ｅ魔法少女リリカルなのはＨＴＥＺ２,大当り 1/348.5,1/51.6,約63%,約75%,,https://www.p-world.co.jp/machine/database/10480,2026-08-21,図柄揃いと時短引戻し等を含む公表値
1707,Ｐ織田信奈の野望全国版Ｖ４Ａ,1/249.1,1/82.5,実質約31%,約55%,約90%,https://pachinko-curation.com/62285/,2026-08-21,上位RUSH搭載
1710,ｅ甲鉄城のカバネリ２ＧＦＥＡ,1/319.7,1/98.3,50%,約75%,,https://www.p-world.co.jp/machine/database/10400,2026-08-21,RUSH公表値
1711,ｅフィーバー炎炎ノ消防隊２ＭＳ,大当り 約1/349.9,約1/2.0,約49%,約73%,,https://pachinko-curation.com/54800/,2026-08-21,図柄揃い約1/399.9;右は大当り側確率
1712,ｅ／押忍番長漢の頂／Ｌ０９,1/179.5,1/99.5,25%,約80%,,https://1geki.jp/pachinko/e_osubancyo/,2026-08-21,RUSH公表値
1738,ｅフィーバー機動戦士ガンダムＳＥＥＤ２ｂＦ,図柄 約1/399.9,約1/95.6,約52%,約75%,,https://g-net-ps.com/info/p0592/,2026-08-21,大当り合算1/349.9;SEEDクライマックス
1739,ｅエデンズゼロＡＩＮ,図柄 約1/399.9,約1/1.7,50%,約77%,,https://www.p-world.co.jp/machine/database/10534,2026-08-21,チャージ約1/2799.9;上位中は約1/1.3
1740,ｅ七つの大罪３ＧＦＥＡ,1/319.7,RUSH 約1/1,約40%,約75%,,https://pachinko-curation.com/63412/,2026-08-21,チャレンジ確率約1/196.2
1742,ｅアクセル・ワールドＬＭ２,約1/184.6,約1/36.7,70%,約78%,,https://g-net-ps.com/info/p0588/,2026-08-21,右打ち突入70%;LTチャレンジ突破約33%
1743,ｅハイスクールオブザデッド３Ｖ１Ａ,1/299.2,約1/32.4,50%,約80%,約93%,https://1geki.jp/pachinko/e_hsclded3/,2026-08-21,上位RUSH搭載
1744,ｅフィーバーブルーロックＭＺ,図柄 約1/399.9,約1/33.2,約55%,約77%,,https://www.sankyo-fever.jp/products/machine_list/pwr/spec/,2026-08-21,大当り合算約1/349.9
1745,ｅ魔法少女まどか☆マギカ３ＬＰＭ１,1/319.9,約1/146.8,約70%,約50%,約80%,https://pachinko-curation.com/59466/,2026-08-21,上位RUSH中は約1/82.4
1746,ｅフィーバーもののがたりＦ,1/149.9,1/41.1,25.5%,約73%,,https://pachinko-curation.com/?p=57090,2026-08-21,RUSH公表値
1747,ｅ真・一騎当千~軍神覚醒~ＡＭ－ＴＳ,1/319.7,1/109.6,51%,約60%,約80%,https://pachinko-curation.com/55474/,2026-08-21,上位RUSH中約1/84.7
1777,eｿﾞﾝ100MA,約1/199.5,約1/146.6,25%,約50%,約75%,https://news.p-world.co.jp/articles/33916/yugitsushin,2026-08-21,通常時RUSH突入25%;CZ中50%/100%;LT中約1/34
1779,ｅ／押忍番長漢の頂／Ａ０３,1/99.9,1/99.9,33%,約77%,,https://g-net-ps.com/info/p0583/,2026-08-21,99ver.
1780,ＰフィーバーブルーロックＹ,図柄 約1/120.1,約1/39.1,約60%,約72%,,https://www.sankyo-fever.jp/products/machine_list/pwr/spec/,2026-08-21,Light ver.
